AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.573174,1.576912,1.574089,1.573090,1.564377,1.564758,1.564606,1.565750,1.564529,1.564369,1.564377,1.564911,1.564606,1.564301,1.564377,1.564453,1.564835
d2sci_32,2.110222,2.108002,2.110916,2.108231,2.109993,2.106094,2.105247,2.108315,2.104263,2.105705,2.103874,2.110680,2.112595,2.110680,2.109383,2.109077,2.106407
d2sci_32v,2.144859,2.144859,2.145622,2.145927,2.144402,2.144241,2.143791,2.151665,2.148758,2.149063,2.143715,2.150444,2.147995,2.153198,2.151588,2.155258,2.150902
d2sci_avx512_lut,4.241165,4.251572,4.250954,4.291328,4.246826,4.290710,4.285286,4.271980,4.257530,4.286507,4.252022,4.275650,4.271980,4.299507,4.267242,4.265099,4.280540
d2s_32v,4.551834,4.525070,4.504356,4.504967,4.506798,4.501755,4.499687,4.505119,4.503517,4.493568,4.500526,4.497162,4.499153,4.498390,4.496025,4.497093,4.499611
d2sci_avx512,4.749931,4.786026,4.743965,4.747643,4.774094,4.767906,4.806976,4.775475,4.749016,4.748169,4.743813,4.739304,4.744507,4.738770,4.763847,4.811943,4.807129
d2sci_sse,5.454269,5.471626,5.467194,5.481415,5.456718,5.457634,5.443565,5.450600,5.455040,5.471169,5.434006,5.477974,5.470253,5.479279,5.450294,5.460464,5.451294
d2sci_lut,7.177467,7.111786,7.131813,7.123413,7.162483,7.133728,7.134262,7.169899,7.138092,7.159500,7.144356,7.164543,7.142830,7.177315,7.145813,7.168671,7.160400
d2s_avx512,13.071190,13.021500,13.000847,13.028664,13.050980,13.005867,12.992638,13.004265,13.037521,13.009544,12.999832,13.029800,13.021240,13.037369,13.006104,13.001282,13.005104
d2s_sse,13.950920,13.850525,13.983566,14.118057,13.926826,13.934395,14.055054,13.934021,14.008026,14.039536,13.953362,13.993126,14.050087,13.973465,13.955887,14.035332,14.021873
dragonbox,12.096825,13.259987,12.865608,12.351357,13.873718,13.015930,12.956757,13.350510,15.269608,14.769264,14.573761,14.830887,17.582703,16.795326,16.703499,16.890831,21.406898
schubfach,14.292679,15.521133,15.379166,14.793678,16.132843,15.588722,15.465332,15.874435,17.924774,17.565361,17.513062,17.690292,19.292221,18.835335,18.757355,18.934265,23.143127
erthink_shodan,19.797302,20.311249,21.089439,21.939575,22.569054,23.304955,23.993919,24.333389,24.697021,25.300117,26.061188,27.282295,27.823845,28.452713,28.700356,29.340538,34.068924
erthink,20.785721,21.234596,22.154312,22.529030,23.114395,23.737144,24.323425,25.457603,25.443390,26.111626,26.824821,27.895546,28.370956,29.321327,30.494057,31.281494,32.844292
grisu_exact,26.038345,26.953606,27.063477,27.220215,26.495789,26.879135,26.544411,27.066841,27.176331,28.375786,27.055450,26.912323,27.493950,27.276276,27.148140,27.689224,29.100533
floaxie,16.458237,18.908707,19.647827,21.121696,22.680603,23.987572,22.268501,24.901474,27.848236,30.441620,31.916718,33.100670,33.003494,33.501762,34.482025,35.966988,38.085938
ryu,38.353470,38.600418,38.017380,37.225548,36.315987,35.594490,35.229805,35.787460,34.361443,34.247147,32.670898,31.799324,30.576897,29.679787,28.752098,27.960793,27.509415
emyg,30.230400,34.471992,36.030663,37.227089,37.707542,38.525726,39.340691,37.786987,38.312561,39.190376,39.128754,39.719543,40.287468,40.681313,41.310860,41.007317,46.719955
milo,31.358299,36.057854,38.327934,40.771484,42.897659,44.965134,46.362762,48.138924,49.347626,50.545998,51.677025,52.142189,52.552231,50.113930,51.869141,52.749535,57.102814
fmt,37.256905,39.877419,44.153923,45.513649,46.632065,47.184631,48.794136,49.397461,50.155998,51.115318,51.852417,53.370331,53.886116,54.724854,55.244530,55.001778,60.275200
grisu2,42.251541,40.532333,41.326645,42.521049,44.184219,45.673531,46.966026,48.258842,49.919708,51.328735,53.035072,54.426964,55.861992,57.385155,59.121498,60.538239,62.477638
fpconv,45.540581,49.193314,50.724442,51.686958,52.257950,52.612541,52.066490,51.260941,54.397438,54.463654,54.967659,55.509590,57.055054,59.411995,59.570786,60.839516,64.978737
doubleconv,41.581985,45.989059,49.517914,48.369713,50.700371,52.131699,54.480476,54.109261,54.606552,56.517220,58.298195,59.735260,59.544510,59.971542,61.372742,63.147224,67.073814
to_chars,57.284416,57.690308,57.650085,57.492065,57.293282,57.007652,56.780975,56.776459,56.385170,56.441292,56.328674,56.300079,56.133713,56.282181,56.197472,56.170486,56.268730
stb,58.426186,60.189636,60.462196,61.108299,60.627556,61.212044,60.893463,61.338112,61.652260,61.874657,61.329239,62.597366,62.493088,61.678787,61.602165,61.770744,61.060875
format,118.123573,125.156593,123.663605,124.751060,124.759460,124.212631,122.381096,122.243935,122.363815,116.777687,118.824448,116.940613,115.832977,115.942238,115.767456,121.468170,119.808907
sprintf,284.908508,291.422234,294.501854,297.043785,300.494446,303.373512,305.529579,308.312943,310.958122,313.067009,315.136948,316.885590,319.562447,322.857536,322.322670,321.362602,319.374748
ostrstream,367.534439,374.480156,394.348610,378.561119,382.258430,384.901703,386.646423,389.642410,393.311447,394.919594,398.144234,418.575127,400.634827,404.264816,403.867867,403.246445,399.640121
ostringstream,402.356148,408.203148,410.353325,413.317528,416.910591,418.898514,421.435150,424.540489,430.517044,437.385498,442.158821,444.771538,447.755325,449.897102,450.031746,449.715111,446.884506
dragon4,155.626022,203.120468,241.361450,264.165520,299.749062,343.928574,365.651176,398.717102,458.410233,480.683754,525.912224,562.727982,566.739029,600.220886,630.858513,667.166161,685.457161
