AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:Random
Function,Time(ns)
null,1.511551
d2sci_32,2.111397
d2sci_32v,2.149628
d2sci_avx512_lut,4.286179
d2s_32v,4.517319
d2sci_avx512,4.732025
d2sci_sse,5.526222
d2sci_lut,7.240166
d2s_avx512,13.263611
d2s_sse,14.449066
dragonbox,21.769096
schubfach,24.499619
ryu,29.304939
grisu_exact,29.468170
erthink,30.756836
erthink_shodan,33.532898
floaxie,39.006500
emyg,44.465950
to_chars,57.894905
milo,60.288696
stb,61.396660
fmt,62.898064
grisu2,63.142433
fpconv,65.236160
doubleconv,70.693558
format,115.476128
sprintf,325.777321
ostrstream,429.947556
ostringstream,476.226814
dragon4,728.633644
