AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,0.873138,0.868782,0.868629,0.868782,0.868706,0.868706,0.868782,0.868629,0.868706,0.868782,0.868706,0.868782,0.864342,0.868706,0.868858,0.868858,0.868706
d2sci_32v,2.113991,2.113068,2.113914,2.114220,2.113831,2.113525,2.113686,2.113754,2.113602,2.113983,2.112991,2.112762,2.113754,2.113449,2.114288,2.114670,2.113220
d2sci_32,2.328545,2.325035,2.324188,2.320747,2.320976,2.321823,2.335892,2.325638,2.326027,2.339256,2.326637,2.320061,2.338181,2.342010,2.334511,2.315933,2.325722
d2s_avx512,2.428719,2.431786,2.991669,3.022171,3.208061,3.224892,3.225342,3.356865,3.654015,4.090103,4.138512,5.094261,5.095406,5.154282,5.487297,6.284988,6.356720
d2s_sse,2.977219,2.976067,2.975685,2.989677,3.190781,3.206306,3.206306,3.648125,3.640404,3.718864,4.110443,5.089211,5.092041,5.160477,5.428337,6.140625,6.216248
d2s_32v,4.600128,4.576736,4.435120,4.435043,4.466240,4.435951,4.429535,4.436493,4.444298,4.440086,4.457527,4.435966,4.506233,4.473961,4.507385,4.523743,4.541176
d2sci_avx512,4.461342,4.526573,4.591576,4.583694,4.553253,4.517090,4.526115,4.547447,4.529243,4.550964,4.524429,4.604645,4.545151,4.571762,4.524353,4.596924,4.557388
d2sci_sse,5.324326,5.305367,5.332283,5.321121,5.320808,5.351089,5.318977,5.305519,5.326012,5.313545,5.338242,5.341537,5.333656,5.329834,5.322037,5.333122,5.344437
erthink,3.844818,3.885040,3.903854,3.903389,5.422989,5.497391,5.494171,5.497536,5.506866,6.394859,6.418259,7.487083,7.489151,7.496338,9.259544,9.270332,8.887314
schubfach,4.966583,5.153305,5.367699,5.681351,5.654129,5.428413,5.403870,5.635399,5.636009,5.809883,6.486496,8.223480,8.178146,8.062454,7.996468,8.094643,8.405083
dragonbox,4.890343,5.093048,5.299583,5.577682,5.559875,5.503983,5.530128,5.572723,5.738876,6.351288,7.701363,8.112061,8.075195,8.246712,8.240601,8.638824,8.523438
d2sci_lut,7.015625,7.027931,7.017380,7.008896,7.034744,7.014244,7.001404,6.978157,6.999649,7.006981,6.988693,7.009415,7.011093,7.004524,7.019348,7.015457,7.035484
ryu,6.108315,6.747688,7.189720,7.251877,7.620117,7.695358,7.867393,8.438110,8.484528,8.475418,8.755653,8.770493,9.461319,8.807045,10.423294,10.373665,10.769051
d2sci_avx512_lut,9.339050,9.338661,9.325211,9.303719,9.352203,9.344940,9.278954,9.261284,9.257004,9.332169,9.326126,9.303345,9.294548,9.278946,9.306023,9.260902,9.281624
erthink_shodan,8.522652,8.841743,9.446808,10.556168,11.000587,10.300163,10.579643,11.456161,11.445763,12.503738,14.578621,16.127647,16.050262,17.069542,17.668724,17.546455,18.890175
grisu_exact,13.033157,13.405914,13.687759,13.915245,13.157639,12.914864,13.172852,13.464790,14.039803,13.525513,13.577957,14.770836,14.884842,13.914368,14.883316,14.832237,16.754539
emyg,7.910034,9.221268,10.814110,12.666565,14.354767,13.049660,13.923958,15.395874,16.502708,16.379295,18.491333,18.483383,21.699966,18.024063,18.801704,20.501915,20.675636
milo,15.642906,16.874359,18.572319,20.665215,21.053650,20.334579,20.570930,22.523132,22.858116,23.839767,23.915009,26.072044,27.362457,23.457291,24.209084,26.041313,26.098274
floaxie,18.461205,18.343071,19.666992,19.727089,20.544350,21.853210,22.017982,22.067078,22.064720,22.916389,23.803841,26.530739,26.709435,28.294327,30.111511,29.646835,29.270782
fmt,18.036247,19.937393,21.639038,22.894363,22.949577,21.684082,21.668098,22.956535,25.112762,25.616592,27.131592,30.365685,29.003151,28.614250,28.466522,29.632301,29.521431
doubleconv,22.098984,23.040588,24.484421,25.177811,26.171257,27.793259,27.791122,28.275681,28.898117,28.565025,31.293640,32.279594,34.331635,33.540215,36.128281,36.308746,37.865051
to_chars,30.883064,31.638802,32.226028,32.735947,33.442223,33.757469,34.400124,35.304436,34.865540,30.143379,30.717300,30.938576,31.300232,32.137566,32.582947,33.878502,27.041122
fpconv,22.435776,23.220764,23.173500,23.451378,25.862831,29.359695,33.285149,33.258003,33.833321,34.347687,34.553535,34.527916,34.877129,35.608887,44.517899,45.038017,44.527077
grisu2,24.597351,25.988159,27.292938,28.239334,28.876137,29.455193,30.378654,30.460625,32.994263,33.035088,35.406013,35.284752,37.730598,37.545403,41.271194,41.823257,41.810112
stb,37.801208,38.312965,40.095818,40.211197,40.919388,42.417641,43.160080,43.028496,43.257011,44.238388,44.512344,44.721542,45.001930,47.235512,47.564827,47.472008,48.012436
format,98.347557,95.578384,98.584671,102.137909,102.273636,104.152763,104.829468,103.158257,94.423813,95.071930,98.504044,102.353340,101.043434,99.449829,98.341400,97.083679,87.694321
dragon4,28.634460,48.414093,59.260849,68.278450,80.585999,82.974487,87.889252,94.370956,108.439590,124.136261,133.991859,144.547783,158.275879,175.070854,183.346741,191.865059,208.635750
sprintf,85.741524,69.988976,78.522514,92.010254,94.548706,99.534393,106.819901,111.813385,112.959702,124.115929,134.451782,137.127625,147.626106,146.998970,147.914215,162.790565,168.045372
ostrstream,184.751350,159.079971,164.117798,168.754036,175.374252,185.164536,184.247208,196.058449,205.697090,206.408516,221.518913,219.826042,223.815689,223.358200,223.049133,248.482506,248.371559
ostringstream,170.762245,156.476303,163.262917,173.352455,181.162537,185.305641,193.749863,188.190659,205.458031,215.174675,212.659187,219.730820,231.942009,237.851540,240.979111,278.231781,243.181618
