AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.449740,1.449740,1.449577,1.442399,1.442399,1.435221,1.435059,1.435221,1.435075,1.435059,1.435221,1.435075,1.428044,1.428044,1.428044,1.427897,1.427881
d2sci_32v,1.987956,1.991878,1.989437,1.989258,1.987809,1.989600,1.987321,1.990088,1.991064,1.990739,1.991715,1.993034,1.989762,1.990251,1.990576,1.993506,1.990413
d2sci_32,2.046012,2.051221,2.049430,2.048617,2.051074,2.048958,2.047982,2.050749,2.049756,2.049919,2.050749,2.051725,2.049772,2.047965,2.049935,2.050732,2.050749
d2sci,4.051921,4.076546,4.055176,4.061702,4.053385,4.054850,4.056315,4.065120,4.044889,4.048177,4.052734,4.079476,4.051270,4.059408,4.058268,4.066423,4.051107
erthink,7.886995,8.145768,9.084798,9.939225,11.112077,12.015576,12.615299,13.442155,13.884505,14.268522,15.157161,15.565462,16.284212,16.657292,17.416943,17.894222,18.254248
erthink_shodan,9.438965,9.623698,10.542692,11.500163,12.459896,13.472803,14.150944,14.847689,15.364909,15.875260,16.567594,17.045361,17.623861,18.360563,18.873047,19.391715,20.092708
emyg,9.872363,12.180436,13.609277,14.942904,15.826676,17.077799,17.908887,18.854460,19.465592,20.327018,20.956250,21.807064,22.562337,23.281738,24.011898,24.670003,25.236621
milo,10.234603,12.915267,14.251839,15.735335,17.072884,18.599919,20.081462,21.543099,22.745150,24.166374,25.723226,27.257275,28.705713,30.349984,31.989990,33.713021,34.515267
floaxie,14.740885,16.265625,17.188363,17.715837,18.607422,19.484342,20.346094,21.433187,22.778711,23.962012,25.107813,26.140430,27.503711,28.639225,29.802783,30.976969,31.123226
ryu,28.851090,28.622982,27.967480,27.238770,26.274577,26.134342,24.931592,24.339193,23.604297,23.272933,22.583187,22.449316,20.965625,20.505469,19.592806,19.158089,18.629118
fmt,25.371419,26.469434,28.459521,29.537500,30.953825,31.999658,32.807275,34.390869,35.782389,34.537793,35.726628,36.556429,36.738883,38.777913,37.726351,39.905615,40.484131
fpconv,22.280029,24.680225,26.492920,27.893717,29.278743,30.444255,31.652669,32.962663,34.850863,36.153516,37.360954,38.774479,40.189648,41.753516,43.292611,44.804964,45.558789
grisu2,24.676465,26.650911,27.727100,28.298763,29.203890,30.275505,31.877360,33.509896,34.582959,35.550212,37.215495,38.499723,40.270703,41.620638,43.308431,44.611605,45.743685
doubleconv,26.189551,28.947803,30.847721,31.509196,32.647347,33.972656,35.141602,36.801823,39.090479,38.516862,40.430143,42.087109,43.119434,45.681201,46.290690,49.400326,49.937598
stb,58.182129,59.149414,59.590332,59.761702,59.546305,59.771989,60.058984,59.976465,60.852116,61.772607,61.967285,62.229118,62.075521,62.225374,62.762826,62.949040,62.859033
sprintf,279.112874,287.094906,294.366618,294.354850,297.922314,298.394222,302.817269,306.549105,304.355908,307.971615,307.157943,309.825635,313.004199,316.823763,317.296582,313.297640,312.246061
ostrstream,373.729281,381.114583,386.925391,385.868750,390.678206,392.138509,395.802783,398.832292,396.153906,400.386784,399.267871,401.554948,405.275846,408.349870,408.575863,405.746273,404.127734
ostringstream,406.907406,415.368278,420.065267,420.390576,425.495898,425.509277,430.476237,433.624235,434.107210,444.935596,447.611393,449.697249,453.666748,457.989079,458.051693,454.793294,454.254867
