AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.482259,1.474935,1.467432,1.467269,1.467269,1.467269,1.467269,1.459928,1.459928,1.459945,1.459928,1.459928,1.459928,1.459928,1.459928,1.459928,1.459928
d2sci_32v,1.969596,1.968783,1.968604,1.969743,1.970573,1.977913,1.969922,1.970231,1.972526,1.970557,1.981982,1.970394,1.959326,1.963867,1.978060,1.975618,1.977425
d2sci_32,2.080127,2.063672,2.056982,2.049154,2.050146,2.062028,2.052100,2.052246,2.049805,2.052572,2.049642,2.061051,2.065951,2.063021,2.050781,2.060889,2.057308
d2sci,3.981738,4.006348,4.006022,4.008154,4.005387,4.006038,4.004736,4.003418,4.003581,4.000651,4.005534,4.011247,3.999023,4.006185,4.319401,4.312386,4.322982
erthink,3.282747,3.299382,3.316667,3.333464,4.808545,4.737939,4.968978,4.912402,4.968652,5.863281,5.041846,6.815299,6.815479,6.815804,9.563753,9.564404,9.412272
ryu,6.198600,6.818522,7.308496,7.374040,7.752490,7.815462,7.958138,8.543831,8.442904,8.446647,8.857699,8.992708,9.487744,9.645101,9.701335,10.223275,10.549219
erthink_shodan,9.015120,7.259440,8.594792,9.638770,11.804655,9.604606,9.824219,9.850651,12.740316,12.730534,14.217204,15.510807,18.497168,15.325586,16.338428,16.699902,16.695345
emyg,8.005859,9.285433,10.899089,12.751139,15.075846,12.876025,13.112451,14.659749,13.170150,15.786556,18.169775,19.681885,21.629297,17.920329,18.970508,19.053499,20.736768
milo,8.628841,11.103239,12.818343,14.218278,16.559652,15.715055,15.645459,17.125749,18.796012,18.839551,22.158398,23.928630,25.745117,23.117936,25.390007,27.072184,28.681787
floaxie,17.890479,17.784017,18.972933,19.564144,20.139714,20.116406,20.263786,21.876969,24.536100,24.572624,25.424219,25.828076,27.278385,27.679313,28.453792,28.768962,27.180892
fmt,24.549642,26.910872,28.316992,30.133659,30.549268,26.816471,27.152181,27.588493,29.010107,32.502246,32.189030,34.810498,37.687614,32.341471,32.972786,33.702751,34.560384
doubleconv,22.463916,24.017415,25.611182,25.859831,27.885514,27.995557,28.184049,29.589502,30.160970,31.588102,31.619564,33.409489,35.181462,33.462305,42.326774,40.484521,40.659961
fpconv,21.126139,21.895231,21.841423,22.361702,22.237956,23.625977,31.709180,32.046029,32.403451,32.765234,32.903499,32.921110,33.616178,42.456592,42.688916,42.694954,42.572347
grisu2,23.197510,24.110579,25.249137,26.117041,27.245182,27.258057,28.342985,28.466895,31.258757,31.944548,32.491895,35.199967,36.321908,37.658236,39.121110,40.302881,41.356657
stb,42.892041,43.772380,45.802230,45.933171,45.650260,45.600049,45.900228,44.843636,46.799463,49.370020,46.896175,48.424300,50.454492,49.572689,51.831331,52.295703,51.596859
sprintf,94.187402,69.137533,77.824512,88.754150,92.480892,93.627816,93.615902,102.876514,107.908984,119.595020,120.956348,133.721956,134.492871,142.966520,144.098275,161.766667,168.189697
ostrstream,183.178939,150.290674,158.921484,169.113005,174.547005,174.890902,184.252669,184.991602,198.143636,202.039274,210.201465,214.156250,225.225391,224.185449,233.075374,236.867171,242.477132
ostringstream,171.272721,147.779622,157.563786,167.737256,175.656559,177.344450,185.217269,189.191602,197.304606,198.321533,209.448682,215.596615,222.075911,226.681266,224.323063,234.534245,295.540690
