AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.438820,1.431412,1.431564,1.431862,1.431557,1.431557,1.428886,1.424522,1.431557,1.424759,1.424828,1.424675,1.424683,1.425293,1.425446,1.424828,1.424835
d2sci_32,2.063110,2.046440,2.042923,2.048729,2.031845,2.029396,2.039558,2.032837,2.016403,2.023048,2.025269,2.020294,2.020683,2.025650,2.003716,2.006317,2.010521
d2sci_32v,2.050339,2.050339,2.048813,2.054924,2.049118,2.042236,2.049042,2.039482,2.037880,2.044609,2.043304,2.041397,2.046364,2.041321,2.035278,2.043076,2.039787
d2sci,4.238571,4.239113,4.240791,4.222832,4.217636,4.219162,4.203873,4.192024,4.190575,4.183540,4.175743,4.174599,4.194855,4.161751,4.154648,4.154953,4.135689
d2s_32v,4.549225,4.537148,4.531570,4.506493,4.512001,4.481194,4.595551,4.695229,4.705009,4.686897,4.684448,4.683228,4.661438,4.552895,4.420959,4.391457,4.368217
d2sci_sse,5.146217,5.177101,5.172363,5.181229,5.161125,5.184059,5.204689,5.168770,5.184059,5.185204,5.183289,5.177254,5.153793,5.174194,5.180923,5.157455,5.172974
d2s_avx512,12.534264,12.500237,12.436501,12.542747,13.097313,13.067123,13.019653,12.974098,12.863640,12.805931,13.078201,13.095634,13.054276,12.989227,12.901245,12.802567,12.664825
d2s_sse,13.375481,13.336952,13.770668,13.767227,13.770592,13.649818,13.617027,13.554573,13.445114,13.344597,13.223206,13.138664,13.057411,13.000237,13.787415,13.704628,13.710205
dragonbox,16.223846,16.999481,16.729034,16.068520,16.990608,16.386360,16.943451,16.444138,17.995941,17.582405,18.163727,17.653259,19.596436,19.234032,19.512810,18.913445,22.276024
schubfach,17.558853,18.673492,18.442421,18.164482,21.011780,20.383293,21.087685,20.892540,20.163452,19.780945,20.303642,19.625473,21.076904,20.371986,20.809601,20.212990,23.811691
erthink_shodan,17.913536,18.107544,19.158966,19.918320,20.905769,21.669098,22.490593,23.107689,23.564796,23.903732,24.341957,24.824753,25.247841,25.774353,26.283676,27.149963,32.922913
erthink,19.167000,19.631210,21.182404,22.149208,22.485245,23.215157,23.950890,24.500183,24.936653,25.365479,25.899643,26.301788,26.704247,27.253006,27.659286,28.409454,32.686562
grisu_exact,25.508034,26.869507,25.494591,25.734146,25.257469,25.551231,25.681793,27.393417,28.363899,31.422630,28.795174,30.212357,28.750298,30.424629,28.422371,29.065773,29.628136
floaxie,15.949356,20.403557,20.449272,21.041298,22.240555,23.406487,24.309692,25.104515,28.200020,29.168343,30.838715,32.921608,34.232773,35.740700,37.489182,38.926628,40.580475
ryu,40.010147,40.615700,40.031700,38.844055,38.072021,37.257484,37.035957,35.674339,34.973312,35.225716,33.799812,32.223167,31.979332,30.971619,30.069862,29.069275,28.698692
emyg,28.099495,31.983017,33.458138,34.530815,37.880394,37.845932,37.841721,38.054146,38.460495,39.175209,39.802246,40.183678,40.599892,40.727776,40.865829,43.783752,45.754440
milo,32.418869,36.604546,38.731239,40.594002,42.470291,44.176338,45.549423,46.741577,47.789108,49.637184,51.083046,51.709076,54.334015,55.720856,57.372337,57.403366,58.002197
grisu2,41.560883,40.642006,38.805016,39.376083,41.036133,42.545273,43.830765,45.125107,48.697052,48.716393,49.564568,50.822533,52.367836,53.906952,55.485046,56.996559,61.970634
fpconv,42.820152,46.007988,47.222076,47.948555,48.933334,49.686333,53.258438,52.056274,51.014626,50.815727,51.677971,52.620773,53.622597,55.767639,56.006897,60.486710,63.095901
fmt,42.041466,43.755852,45.536667,46.835838,48.516205,49.634827,50.890411,51.791870,52.693855,54.414429,55.648628,55.442009,56.055901,57.013763,58.017181,59.265060,64.974335
doubleconv,40.023773,46.375748,48.938774,50.834396,55.262543,55.393181,55.523125,56.194107,56.696701,60.977928,61.065453,62.166878,62.913460,62.792152,64.479858,68.500122,70.396896
to_chars,60.044487,59.416306,60.042191,59.751411,60.030113,60.089050,59.971031,59.605110,59.469437,59.354080,59.437935,58.379936,57.419250,58.660622,57.489265,58.758774,58.813049
stb,73.222054,75.664223,73.353149,71.859215,72.010414,72.234222,72.337799,72.717094,77.254242,75.708786,75.630890,75.509506,75.628754,75.566681,76.761436,76.900551,75.101318
format,112.734085,114.059776,113.613525,109.828232,111.214088,110.592026,111.956238,111.493401,107.261627,106.299400,106.268372,108.529449,105.660210,105.676414,105.197830,104.928154,103.077240
sprintf,285.774239,291.158417,308.659096,302.960678,311.865883,303.228600,305.874245,314.350624,310.517029,328.719719,314.696655,317.956276,335.290466,337.982742,323.686325,320.839943,319.342339
ostrstream,370.207359,373.749718,376.245850,378.418030,381.528893,384.757309,389.640038,390.061302,392.235924,394.902275,395.572273,397.746666,400.289429,402.793892,402.979248,402.345337,412.062645
ostringstream,410.695152,405.077682,407.451210,411.082924,414.206322,428.327919,419.797264,421.871063,427.673897,435.644310,439.270760,442.243263,450.824440,447.391304,448.660126,446.470810,444.430641
dragon4,164.420349,203.726204,242.824287,279.315712,314.664818,346.786491,378.741676,415.046890,452.786873,486.435127,519.618996,555.222641,605.572632,622.888550,655.855186,690.352432,712.664078
