AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.435158,1.420860,1.413826,1.406868,1.406868,1.406799,1.406792,1.406868,1.406792,1.406868,1.406868,1.406792,1.406868,1.406868,1.406868,1.406868,1.406792
d2sci_32,1.988960,1.976494,1.977570,1.969391,1.966797,1.967026,1.967400,1.967178,1.958313,1.958313,1.957466,1.957542,1.958000,1.957466,1.957695,1.956924,1.957695
d2sci_32v,1.994843,1.994156,1.995300,1.993622,1.995071,1.994308,1.994766,1.994926,1.994698,1.994156,1.994850,1.993774,1.994690,1.993622,1.995155,1.993774,1.995453
d2s_avx512,2.337524,2.362679,2.988106,2.976868,3.179131,3.188675,3.625916,3.643417,3.650368,4.112534,4.128128,4.111610,5.088127,5.261497,5.157684,5.321800,6.156372
d2s_sse,2.727821,2.728050,3.142967,3.143044,3.322372,3.333611,3.333382,3.534790,3.516602,3.962860,3.980743,3.950554,4.886322,4.880440,5.111595,5.999214,5.961296
d2sci,3.937637,3.984413,3.986252,3.984421,3.984032,3.985634,3.987091,4.007500,3.979141,3.979446,3.979225,3.997940,3.998322,3.998711,4.004593,3.999397,3.998169
d2s_32v,4.184235,4.170929,4.163055,4.160988,4.162979,4.152817,4.160385,4.157402,4.182625,4.194931,4.194550,4.158081,4.436638,4.436935,4.431587,4.434875,4.438469
d2sci_sse,5.043640,5.045174,5.044785,5.044487,5.062599,5.051666,5.044945,5.081093,5.101501,5.044861,5.077736,5.048378,5.058929,5.043640,5.044785,5.102654,5.418419
erthink,3.353638,3.353943,3.353706,3.336510,4.884644,4.949158,4.948479,4.958794,5.020714,5.840904,5.839607,6.733345,6.732033,9.321815,9.407120,9.407043,9.255768
dragonbox,4.683228,4.890991,5.292145,5.569397,5.383797,5.385941,5.417435,6.021759,5.746353,6.594673,6.588181,7.602455,7.477097,7.474037,7.680191,7.691589,8.001778
schubfach,4.706306,4.921036,5.331589,5.626411,5.648125,5.681145,6.100266,6.100647,6.310242,6.624023,6.875587,6.911522,7.881226,7.775970,7.747231,7.712837,8.369301
ryu,6.105080,6.709946,7.187309,7.228745,7.609177,7.663147,7.772530,8.389473,8.437553,8.453156,8.750732,8.707771,9.224503,10.017029,10.019318,10.536819,10.837524
erthink_shodan,8.891312,7.171417,8.505440,9.520706,11.203453,10.257057,10.126877,11.017700,13.160233,13.107483,14.510452,14.360023,18.499382,15.191994,16.165916,16.204666,18.233215
grisu_exact,13.473549,13.712349,13.268700,13.308975,13.088905,13.040909,12.864021,12.518211,15.197655,12.453087,15.956467,16.267265,16.405548,15.647186,15.616310,15.056389,14.793358
emyg,8.427322,9.721367,11.343109,13.276260,15.017708,13.279320,13.312035,14.672058,15.881783,15.782112,17.046875,19.425751,21.385208,17.995338,19.918564,20.069763,22.048172
milo,8.916908,10.953644,12.767479,14.329605,16.248306,15.866653,15.754280,16.148407,18.466057,21.174698,21.208481,24.501038,26.061630,22.780838,24.305733,26.275810,28.197357
floaxie,17.696999,17.043205,19.247192,19.259506,20.045219,20.405708,20.675774,21.358994,21.383224,23.446014,23.989738,25.515396,26.929604,28.818886,28.244827,29.279053,29.293503
fpconv,20.629448,21.405464,21.383148,21.886497,24.165466,31.126289,32.972466,32.724258,32.296501,32.000916,32.105179,31.817688,32.614487,32.721657,32.863380,42.003273,41.706833
fmt,24.009377,26.107338,27.862244,31.527443,30.978996,27.437538,27.095093,27.010094,29.892021,29.921989,33.833397,36.336571,36.670074,32.527046,32.164261,32.285576,33.173187
grisu2,23.181694,23.699036,26.416542,27.356438,27.873024,27.767914,28.130081,29.075722,28.203011,30.937637,30.920898,34.882072,34.935577,35.352562,38.821617,39.575699,41.611664
doubleconv,23.372948,24.928650,26.205872,26.087471,27.833351,27.811646,27.531639,28.809410,29.582291,30.131508,31.160851,32.971085,34.770477,39.003784,36.672752,41.449387,42.050507
to_chars,30.539909,31.416367,31.792068,32.432945,33.024132,33.142227,33.279434,34.662994,35.117653,29.602455,29.485046,30.087090,30.023331,31.321892,32.168076,32.353828,26.291634
stb,41.527802,43.297531,44.834961,44.921112,44.607399,45.164948,48.381760,47.443695,48.862106,51.567459,49.918198,48.043518,51.411522,51.488495,52.179047,54.531021,53.190041
format,79.152313,81.751564,81.379456,85.082497,86.062233,86.335426,86.801247,87.070236,81.342690,78.855034,79.645653,81.530266,81.706543,81.739029,83.647194,88.783630,77.269531
dragon4,26.457283,45.301262,55.742836,66.168510,75.997818,80.064781,88.985512,93.559128,97.415199,97.000664,126.106972,144.188148,157.877876,166.311226,176.270317,190.335518,185.489548
sprintf,89.823799,69.465027,77.833717,88.263893,92.371689,96.981613,98.008041,106.379242,117.065964,118.232353,125.551216,127.517471,131.949211,139.529953,148.598137,150.372147,157.820038
ostringstream,162.195320,145.979645,154.737099,165.559349,171.479218,179.118362,178.810455,186.011147,182.642075,198.200287,201.239059,211.414940,222.769119,224.457664,224.860504,234.784737,281.841805
ostrstream,175.626900,149.816376,156.586624,173.186020,174.363419,177.878342,188.942284,179.054596,197.293777,206.230637,205.991455,211.568253,216.570541,221.721886,227.501099,227.238983,241.502998
