AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.146439,0.859711,0.859711,0.859711,0.859787,0.860252,0.859871,0.864151,0.864456,0.863922,0.863991,0.864067,0.864372,0.864143,0.864151,0.864143,0.868500
d2sci_32,2.041313,2.017998,2.015015,2.005157,2.005081,2.007835,2.005310,2.006233,1.996521,1.997513,2.001648,1.994461,2.005241,1.993088,1.996674,2.002411,2.003319
d2sci_32v,2.032753,2.019302,2.019455,2.020676,2.015862,2.019829,2.018845,2.016853,2.016090,2.020294,2.022591,2.016243,2.018761,2.016472,2.016853,2.021820,2.018539
d2sci,4.022400,4.110306,4.103188,4.047157,4.060539,4.136673,4.130249,4.127350,4.073151,4.067421,4.071854,4.066582,4.074684,4.062759,4.068489,4.072922,4.072922
d2s_32v,4.270363,4.261574,4.238716,4.240555,4.238564,4.239708,4.218384,4.242996,4.218231,4.214417,4.230080,4.218010,4.238869,4.222511,4.215706,4.232910,4.226570
d2sci_sse,5.147507,5.173950,5.177544,5.161873,5.165321,5.180679,5.173347,5.171890,5.179916,5.173187,5.176018,5.176552,5.178391,5.173653,5.179611,5.180382,5.178314
d2s_avx512,12.416969,12.426064,12.418427,12.442039,12.379974,12.425682,12.437004,12.475372,12.552803,12.591866,12.549591,12.559532,12.540497,12.524292,12.402679,12.408104,12.402069
d2s_sse,13.166306,13.187935,13.175934,13.177544,13.156219,13.162331,13.212021,13.325455,13.351067,13.420853,13.345863,13.377205,13.366882,13.346558,13.211174,13.224403,13.194672
dragonbox,11.396423,12.588264,12.606079,12.031944,13.270187,12.682449,12.574203,12.922310,15.166496,14.643196,14.656494,14.862038,17.092232,16.628403,16.586586,16.923759,20.981239
schubfach,14.028000,15.208000,15.129112,14.519432,15.887161,15.321358,15.237122,15.616714,17.624626,17.225616,17.237541,17.390038,19.169472,18.691269,18.574997,18.972557,23.026672
erthink_shodan,18.404922,18.974243,19.863235,20.632523,21.090935,21.926872,22.495125,22.959030,23.304314,23.691856,24.210190,24.723862,25.244804,25.803421,26.301727,27.298882,32.668365
erthink,19.414307,20.084457,20.664711,21.215523,21.790199,22.406677,22.948792,23.511612,23.675804,24.192612,24.708351,25.636475,26.067139,26.698372,27.109848,27.883263,30.044510
grisu_exact,23.773346,25.103004,24.760246,25.128838,24.655525,24.666000,24.416428,24.640312,25.129906,26.503990,25.305183,25.492767,25.215141,25.447975,25.392403,25.669342,27.149971
floaxie,16.448692,18.791641,19.589508,20.762398,22.336281,23.751022,21.971367,24.860771,27.690552,29.809608,30.955360,32.121979,32.123207,32.306038,33.026100,34.236900,36.465187
ryu,38.019119,38.077438,37.671776,36.686699,35.859085,35.171295,34.687813,33.852707,33.206116,33.523331,32.300758,31.586815,30.446419,29.522491,28.841499,27.998985,27.487679
emyg,29.200996,32.938507,34.809364,36.089409,37.342026,38.289948,38.497787,39.271202,40.473595,41.160095,41.775131,41.900490,41.880692,42.243393,42.576294,41.723457,44.565933
milo,29.222931,33.595421,35.527962,37.208939,39.029953,40.673859,42.052757,43.316605,44.558975,45.902855,46.905281,47.900208,49.041451,49.608170,50.777702,51.879951,55.166924
grisu2,39.196289,36.976257,37.711151,38.963768,40.555389,42.405518,44.007919,45.648384,47.120537,48.647560,50.032875,51.252998,52.805557,54.330833,55.706894,57.397583,59.458694
fmt,35.566261,38.252342,41.793701,42.889847,44.246567,45.370834,46.240341,47.025978,47.858406,48.588936,49.376953,50.764320,51.250397,52.204216,52.678978,54.185219,60.237694
fpconv,43.013138,46.127586,47.180161,48.228294,49.502380,50.031654,50.486618,50.658371,50.471710,50.692245,51.288925,52.496056,53.392464,55.154007,55.809097,56.888184,60.779106
doubleconv,37.031990,41.020599,45.051323,46.845055,49.109108,50.119415,52.131989,52.708801,52.825134,53.075325,53.991600,55.417732,56.289833,57.859894,58.977905,61.126381,65.664970
to_chars,56.977150,57.305077,57.355225,57.121460,56.966835,56.814178,56.575912,56.324669,56.088623,56.022194,55.918694,55.952637,55.942009,55.946594,55.926872,55.856468,55.854866
stb,57.617104,59.525024,59.604675,60.266869,59.922279,60.354477,60.133255,60.524551,60.890923,61.026680,60.383522,61.665405,61.516655,60.701202,60.567505,60.801720,60.140671
format,114.840111,115.794151,115.496117,115.050400,114.850578,114.450806,113.976654,113.510826,112.712189,113.213783,113.097069,113.236946,113.277916,113.318275,112.937233,112.898781,110.765427
sprintf,284.338684,291.133385,294.296600,296.435066,300.165985,302.737419,305.319450,308.106209,311.101944,313.088295,315.609497,317.859787,319.828415,321.179169,322.341736,320.610764,320.027374
ostrstream,364.168800,370.889809,373.880806,375.867386,379.551308,382.544815,385.047363,388.088890,391.059708,393.084511,395.219917,397.135330,398.910103,400.721329,401.880920,399.569305,398.940598
dragon4,154.686844,191.314629,227.553780,262.201935,297.804436,329.464027,361.700508,395.160568,431.703796,463.495857,496.228592,528.926384,562.915009,594.307678,628.378395,660.099907,682.640045
ostringstream,402.141029,408.378937,411.223007,413.406586,417.354897,419.818230,422.744331,425.724014,431.537918,439.479355,444.859688,447.339539,449.555977,452.065697,452.970360,450.874855,450.673355
