AMD Ryzen 7 7840H w/ Radeon 780M Graphics      
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.456322,1.456245,1.456245,1.456169,1.456169,1.456093,1.456169,1.449135,1.449059,1.448990,1.449059,1.448982,1.449211,1.449066,1.449059,1.449135,1.449059
d2sci_32,1.985596,1.973740,1.973976,1.964569,1.963654,1.954941,1.955017,1.953941,1.954788,1.954636,1.954788,1.944771,1.945076,1.946068,1.945686,1.944771,1.954552
d2sci_32v,1.984978,1.982384,1.984673,1.979477,1.983681,1.984444,1.984062,1.985519,1.983147,1.978409,1.982384,1.984062,1.983986,1.986435,1.982376,1.982689,1.982452
d2sci,3.950089,3.957878,3.953369,3.959175,3.951538,3.929443,3.927536,3.927460,3.928986,3.930664,3.951920,3.953369,3.928146,3.928909,3.950012,3.930664,3.948021
d2s_avx512,2.436584,2.494682,2.823830,2.838043,3.231628,3.239655,3.251053,3.219780,3.636147,3.701881,4.115654,4.128876,5.076805,5.452888,5.457550,6.177910,6.194496
d2s_sse,2.839111,2.824211,2.957672,2.956833,3.150909,3.153580,3.153664,3.580116,3.593567,4.018730,4.000000,3.993423,4.931572,4.999519,4.950294,6.211617,6.165535
d2s_32v,4.201492,4.165947,4.163124,4.161598,4.157310,4.166870,4.165260,4.163353,4.162743,4.164726,4.162354,4.169846,4.167786,4.165108,4.166405,4.164116,4.204781
d2sci_sse,5.012978,5.034294,5.054260,5.082840,5.080780,5.051964,5.074814,5.046913,5.080315,5.070000,5.048370,5.072975,5.084595,5.066788,5.053947,5.082153,5.054787
erthink,3.696686,3.733528,3.752953,3.751877,5.409309,5.401665,5.492783,5.509682,5.495461,6.387810,6.387512,7.474167,6.383682,9.220963,9.210182,9.221191,8.826385
schubfach,4.913750,4.916656,5.096596,5.424301,5.441948,5.548660,5.551949,5.578476,5.578857,6.262070,6.490318,8.139198,8.269829,7.889618,7.896042,7.896568,8.436691
dragonbox,4.865288,5.069389,5.247337,5.544228,5.669128,5.518700,5.518166,5.676849,5.701157,6.410286,6.334923,8.018044,8.085991,8.040199,8.043800,8.051056,8.031876
ryu,6.106895,6.712219,7.026695,7.236214,7.603584,7.694847,7.827927,7.836876,8.278389,8.276474,8.282372,9.093918,9.406174,9.356956,9.392723,9.761772,10.318336
erthink_shodan,8.483780,8.756371,9.350990,10.446671,11.649063,10.997032,11.094421,11.925621,11.910789,12.910622,14.291580,15.637215,19.164513,16.575890,17.193901,17.252533,17.870697
grisu_exact,12.229622,12.792526,13.075882,13.549576,12.706909,12.574364,12.659523,12.723419,13.114708,12.739159,13.931541,13.906242,14.750435,14.074867,14.112320,14.335526,14.394157
emyg,8.376160,9.708725,11.396049,13.371857,15.102219,13.471382,13.633202,14.291039,16.182991,17.315590,18.058044,19.664955,21.386757,17.600792,18.987251,19.378464,21.215080
milo,14.349670,16.357735,17.315132,19.008423,19.422035,20.320351,20.370567,20.486763,20.758507,22.889404,22.594955,21.345398,23.814934,23.387024,24.248573,25.129997,25.063034
floaxie,18.145729,18.405693,19.618637,20.239174,20.549980,20.509155,21.918549,21.936058,22.967834,23.034943,24.995468,24.432411,27.912315,28.517265,28.806053,29.012428,28.994545
fmt,18.391869,20.344589,22.311836,22.869682,23.704254,22.083961,22.080139,23.566582,24.634674,26.285606,27.588371,30.665054,31.003838,27.369446,28.076813,29.177238,30.092979
doubleconv,21.495682,22.588158,25.057762,25.960663,27.144791,26.819458,26.486031,26.980827,27.868210,28.268524,29.783401,32.214554,32.432716,33.473289,36.149895,37.376511,39.743233
to_chars,28.953720,29.758179,30.423958,30.869987,31.622833,31.968567,31.842140,32.899826,33.037964,28.318741,28.238319,28.897079,29.068077,29.450813,30.873268,31.160446,25.179375
fpconv,20.676872,21.403656,21.602242,21.994141,25.589012,31.594627,31.869125,31.776093,31.777397,31.868210,32.208206,32.256371,33.152168,33.464493,41.750069,41.977936,41.830254
grisu2,23.963303,25.361839,26.686768,26.555519,27.496254,27.975914,28.065506,28.197815,30.956596,32.111671,33.260399,34.446663,34.489624,37.356102,40.202408,40.299934,42.519974
stb,35.487076,35.586754,37.317650,37.192444,39.426537,39.718765,40.167152,40.428429,40.485451,41.456612,41.639992,41.661240,42.428391,42.839706,44.338684,44.009148,44.014122
format,86.625290,87.305450,88.051262,94.132790,90.626968,92.327370,94.055351,92.907539,86.268166,84.897377,85.932365,85.718864,87.179016,89.872055,88.314751,90.116043,81.677895
sprintf,87.484535,69.453239,77.972031,87.989647,91.903648,93.995949,101.332756,101.794762,116.899338,117.774872,118.370338,133.585297,138.027275,139.659325,141.399239,157.779747,163.106583
dragon4,30.779869,47.333664,58.407295,69.182510,80.395020,83.433487,82.307991,91.993790,100.906929,118.852623,133.927612,136.761688,154.085922,175.328590,190.166557,192.840790,212.060028
ostrstream,173.655464,146.573738,155.417091,164.438774,171.234550,172.394897,173.515800,183.630043,192.079803,185.927887,203.714500,205.516716,219.152664,219.951370,229.676765,228.123817,239.962372
ostringstream,161.721901,149.716629,157.716553,166.660805,174.331963,176.849190,181.283203,185.683212,194.395470,199.283394,205.950363,205.704224,219.709152,220.244301,220.662811,255.693382,257.070900
