AMD Ryzen 9 7950X 16-Core Processor            
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.362305,1.361816,1.355615,1.349268,1.349121,1.349268,1.349284,1.349121,1.349268,1.349268,1.349268,1.349284,1.349447,1.349284,1.349268,1.349300,1.349268
d2sci_32,1.787760,1.789876,1.786133,1.788737,1.792660,1.793132,1.792155,1.791992,1.786117,1.785645,1.782715,1.782894,1.784017,1.790365,2.368652,2.210612,1.786133
d2sci_32v,1.722982,1.721012,1.725114,1.726237,1.754557,2.387028,1.839030,1.723649,1.726074,1.729167,1.723958,1.727539,1.936344,1.868490,2.196615,2.407064,1.728695
d2sci,3.608415,3.622868,3.629395,3.638184,3.627116,3.642741,3.628906,3.637858,3.640462,3.651855,3.640299,3.640479,3.638672,3.615544,3.616536,3.645687,3.639486
erthink,7.182780,7.353027,8.290186,9.049788,9.867839,10.678695,11.611165,12.129395,12.614111,13.247396,13.891097,14.376953,14.988281,15.659831,15.820964,16.548991,17.206706
erthink_shodan,8.647298,8.815413,9.632975,10.599284,11.523926,12.238770,13.283366,18.325667,14.076318,14.648926,15.363428,16.521468,21.763493,16.917318,17.461247,18.064128,18.487777
emyg,9.062500,11.146322,12.681478,13.709473,14.874170,15.754541,16.750798,17.379883,18.007487,18.946436,19.969564,21.087728,22.543962,21.684082,25.891927,27.216309,27.244466
milo,9.604639,12.366699,13.234701,14.922689,16.136719,17.455241,19.018066,20.056803,21.297852,23.166667,24.387370,25.436686,27.039876,28.933105,30.464827,31.873356,32.947103
floaxie,13.592448,15.108398,16.162435,17.045410,19.364909,19.367839,19.616846,21.198063,21.266113,22.200049,24.638997,25.475895,26.482080,28.198568,28.994141,30.123682,29.866699
ryu,27.057943,26.900374,26.326351,25.539225,24.839681,24.295068,23.262370,22.786149,22.008301,21.892741,21.208984,20.926579,19.620752,19.010254,18.292318,17.667155,17.211100
fmt,23.393538,24.284489,25.785807,27.667318,28.717757,30.855941,32.359831,32.049137,32.221029,34.406576,35.585938,36.249023,36.729639,39.538721,38.316569,38.379883,39.312337
fpconv,21.233545,23.197591,24.602686,26.163558,27.355469,28.397135,29.641764,31.032064,32.332845,33.583659,35.140609,36.666992,38.762370,39.365234,41.956380,43.448877,44.468083
grisu2,23.005371,24.962402,25.870605,26.350260,27.140137,28.418115,30.014811,31.688786,32.381185,33.856755,35.119466,36.821924,40.742660,42.472656,44.532210,45.465007,42.909342
doubleconv,23.854004,27.571289,29.242985,30.101237,29.809082,31.523926,32.773112,33.238281,34.457357,36.111003,38.102197,39.639974,40.751937,43.835286,43.996419,45.090641,46.626302
stb,61.826465,61.906396,63.902653,63.537907,63.556641,64.630664,64.517725,64.627913,64.992660,64.124495,64.202148,64.284326,64.853988,61.677230,63.785303,65.946598,64.550130
sprintf,268.740023,272.011019,275.851660,273.822038,275.962663,279.674902,285.814079,288.971452,289.542415,290.861751,295.716732,294.776302,303.622005,298.885677,302.976676,294.779883,296.254834
ostrstream,346.320394,348.708089,353.954199,350.125911,353.864339,358.178630,362.563721,368.875081,370.037028,368.539958,374.680892,373.689046,384.004785,379.097412,380.737061,376.187581,379.030680
ostringstream,389.278076,388.857340,391.547445,394.371484,396.826237,403.774821,406.336003,409.878662,416.100326,418.270589,427.612533,424.882568,435.135628,433.103760,433.603743,423.434961,422.871826
