AMD Ryzen 9 7950X 16-Core Processor            
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.405436,1.401855,1.401855,1.401855,1.401855,1.401839,1.409847,1.428711,1.431966,1.418783,1.425293,1.418620,1.418620,1.418620,1.418620,1.418620,1.418620
d2sci_32v,1.717448,1.713379,1.712728,1.714518,1.719743,1.718750,1.713704,1.714844,1.716960,1.715169,1.714665,1.714014,1.713704,1.712240,1.717936,1.717611,1.712240
d2sci_32,1.789714,1.791195,1.792806,2.288102,1.785156,1.783040,1.786296,1.784814,1.787923,1.786442,1.783675,1.784668,1.784505,1.783350,1.780762,1.773910,1.774886
d2sci,3.544922,3.560368,3.576986,3.564128,3.561686,3.560075,3.561361,5.367350,3.563802,3.561035,3.576823,3.561198,3.559896,3.576172,3.656901,3.559896,3.578125
erthink,3.017106,3.017920,3.031722,3.175293,4.394873,4.301270,4.518083,4.597493,4.632975,4.611328,5.451644,5.368327,6.424479,8.748210,8.790365,8.789697,8.832357
ryu,5.660970,6.271794,6.761556,6.712061,7.052734,7.168294,7.319987,7.848958,7.759928,7.747884,7.855794,8.672835,8.911458,9.041504,9.078451,9.405941,9.815251
erthink_shodan,8.347819,6.664551,7.907243,8.933105,10.971517,8.870605,9.208008,9.896322,11.760596,12.956527,13.276855,14.259766,14.390462,14.217611,15.097493,15.432129,15.322428
emyg,7.369792,8.568669,10.003076,11.717285,14.126465,12.962728,12.922510,14.109847,15.552393,16.286784,17.650065,19.924626,20.735986,16.596517,17.104964,19.824707,17.989095
milo,8.010742,10.177734,11.744450,13.114437,15.459473,15.256022,15.313135,15.583171,18.078776,19.755859,21.620605,23.305339,24.617188,21.254704,24.210758,23.929362,26.494141
floaxie,16.359863,15.967269,17.436035,18.201172,18.667643,18.536768,19.567692,20.792008,20.943034,21.934082,23.862793,23.813151,25.202295,25.578613,26.131494,27.970866,27.796387
fmt,22.573747,24.627604,26.153809,27.875488,28.458171,24.724609,24.787598,26.518066,26.821956,30.130371,32.203288,33.698877,34.099284,29.969238,30.593408,31.211768,33.297673
doubleconv,20.717106,22.271484,23.790186,23.855469,25.387207,26.319971,27.308594,27.606934,28.335107,28.475244,29.449707,30.889811,32.861800,34.340007,38.875960,37.726872,39.902327
fpconv,19.751465,20.230615,20.523584,20.688802,20.718245,22.879883,29.923486,30.138981,30.594059,31.363916,31.261556,31.477523,31.629541,40.249674,39.780908,39.886230,40.111491
grisu2,21.677083,22.323389,23.303711,24.684082,25.515934,25.837565,26.881982,28.602702,29.883626,29.902995,31.619629,31.829753,33.713037,34.959294,36.109863,37.293132,37.310042
stb,39.857747,41.212891,42.963542,42.667952,42.422347,42.628418,42.670898,42.208154,43.785628,45.305827,46.006006,45.658203,46.002441,46.310042,48.163232,50.348454,47.747868
sprintf,90.871224,64.757145,72.893213,83.146143,88.944320,87.771777,96.733203,103.151823,114.412077,114.919580,115.607715,126.413070,126.374658,136.243620,138.594206,148.154753,155.509261
ostrstream,172.382780,140.823861,149.900033,158.295540,165.371224,165.839144,170.227979,189.928027,200.699170,199.483024,202.865202,203.480908,211.388786,209.332161,216.275033,225.689388,236.344840
ostringstream,158.129199,138.072412,147.530566,157.775179,167.494596,170.697884,168.794710,177.422640,191.047331,189.057585,189.465951,199.669727,211.461214,213.273226,229.560807,268.358187,266.242969
