AMD Ryzen 9 9950X 16-Core Processor            
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.155815,1.137627,1.175301,1.197166,1.160622,1.122780,1.170097,1.097786,1.094810,1.089462,1.066994,1.148628,1.154747,1.066002,1.122475,1.066528,1.067215
d2sci_32,1.224144,1.220627,1.228195,1.226601,1.229195,1.232323,1.227966,1.228119,1.229950,1.230721,1.226364,1.227814,1.233398,1.232018,1.227203,1.230560,1.231400
d2sci_32v,1.222458,1.228119,1.233620,1.229561,1.231102,1.233849,1.231789,1.233856,1.232246,1.230637,1.233017,1.232857,1.233086,1.232620,1.230873,1.229881,1.231552
d2s_32v,2.405098,2.420471,2.435677,2.429108,2.428116,2.430634,2.444305,2.440567,2.444168,2.447754,2.445160,2.455704,2.465492,2.461433,2.463577,2.459068,2.464180
d2sci,3.163361,3.185677,3.210449,3.206245,3.200516,3.187515,3.192940,3.190651,3.190804,3.191414,3.186523,3.197296,3.199287,3.188431,3.196068,3.187973,3.194008
d2sci_sse,3.995232,4.001801,3.988503,4.003098,3.973145,3.986664,3.990105,3.980629,3.975052,3.970306,3.968018,3.982925,3.960144,3.957855,3.961830,3.958382,3.950211
d2s_avx512,10.416580,10.326767,10.313004,10.361389,10.353752,10.345192,10.327690,10.310104,10.308426,10.307732,10.357567,10.275322,10.329971,10.282433,10.289696,10.271271,10.244598
d2s_sse,10.441650,10.394257,10.417648,10.396629,10.413071,10.398232,10.361771,10.351685,10.379509,10.371712,10.387611,10.340225,10.382034,10.326378,10.341286,10.315987,10.296341
dragonbox,10.520081,11.649597,11.687660,10.925125,12.226158,11.495567,11.416466,11.641106,13.148224,12.524574,12.443085,12.612404,14.133125,13.516731,13.449081,13.608986,17.692886
schubfach,12.521362,13.753761,13.649124,13.028679,14.210548,13.557549,13.508545,13.703163,15.221664,14.690041,14.632866,14.764267,15.781189,15.196358,15.178329,15.491798,19.289360
floaxie,13.071098,14.757988,15.673027,16.408592,16.863464,17.596115,18.722191,19.862709,22.272324,23.538437,24.479073,24.947174,25.290459,25.852730,26.352242,26.802986,28.540657
erthink_shodan,17.856384,18.561981,19.494507,20.029350,20.334709,20.642296,21.200066,21.633682,22.184113,22.188858,22.608269,23.080193,23.638878,24.207870,24.649147,25.600555,31.842979
erthink,18.585442,19.182495,19.797661,20.427658,21.057281,21.514366,21.995010,22.495827,22.891930,23.020493,23.479118,24.003479,24.515533,25.094467,25.669891,26.160164,28.824234
grisu_exact,22.960487,24.709450,24.323601,24.803696,24.215294,24.679031,24.136551,24.445061,24.064865,25.537804,23.845558,24.032219,23.984520,24.086113,24.089699,24.337357,25.656357
ryu,33.420403,34.129829,33.615555,32.559494,31.932251,31.185074,30.529625,29.733147,28.914894,29.572014,27.629364,26.900909,26.253792,25.528099,25.174118,24.931427,24.445442
emyg,30.728432,34.213913,35.284180,35.785538,36.922310,37.645409,38.872383,39.331467,39.842606,40.529320,41.294685,41.999664,41.854813,42.876396,43.173973,43.010933,46.349564
grisu2,34.658844,33.839592,34.356316,35.496681,36.156563,36.984070,37.945656,38.648949,39.337662,40.097450,40.831322,41.626419,42.310684,42.841927,43.419106,44.388870,47.907890
milo,28.197441,31.354462,33.451897,34.657013,36.321671,37.336143,38.839211,39.905670,41.199821,42.221794,43.593002,44.524933,45.522499,46.429970,47.509117,48.444260,52.147949
fmt,33.269592,35.437515,37.354645,38.002686,39.205727,40.016808,40.494232,41.218636,41.743294,42.429619,42.921188,43.520088,44.434044,45.332634,45.769859,47.272011,53.866882
doubleconv,34.151840,36.940804,39.590820,41.013313,43.394875,44.357300,45.909439,46.760483,47.577072,47.697922,48.335556,49.257698,50.141777,51.274124,51.983078,53.777756,59.382141
fpconv,40.996277,43.489426,44.706390,45.386681,45.868156,46.482948,46.874840,46.990799,47.080757,46.936073,47.687225,48.484154,49.330467,51.141655,51.488670,52.547798,56.356361
to_chars,51.690544,51.943550,51.758888,51.402992,51.092041,50.734772,50.389046,50.050049,49.731071,49.672600,49.714951,49.922012,49.882576,49.900078,49.758820,49.761192,49.774117
stb,50.910728,51.898758,52.204048,52.638527,52.495430,52.911179,52.587166,52.582581,52.739037,52.337509,51.737099,52.643341,52.441849,51.466446,51.543327,51.681686,51.044960
format,90.287064,90.346161,90.071365,90.082909,89.832191,89.451385,88.752663,88.383858,88.264076,88.093475,88.013512,87.990051,87.977898,88.159134,87.749275,87.520950,85.982040
sprintf,234.454849,238.516808,240.908989,242.695564,244.755714,250.213181,253.788612,256.152283,257.058914,259.315346,261.749954,265.383247,267.703888,268.759796,269.630188,266.890671,266.633080
ostrstream,300.072754,305.563324,305.859673,310.471367,312.752106,313.650703,316.370041,318.101570,321.083473,324.715706,327.133720,327.647072,331.292603,331.107399,332.553673,331.316299,331.174049
dragon4,127.618935,158.015869,186.724068,214.225540,244.538933,271.489761,295.397606,322.195480,349.628860,374.843407,403.102234,430.130028,458.294922,484.433678,514.489845,538.650703,557.701118
ostringstream,321.487823,328.788979,330.235092,332.086334,334.436783,338.416573,342.001862,346.155472,349.252640,358.752045,361.584045,365.034821,368.438034,374.801605,372.621834,370.792152,369.239792
