AMD Ryzen 9 9950X 16-Core Processor            
Type:Random
Function,Time(ns)
null,1.066460
d2sci_32v,1.206871
d2sci_32,1.218033
d2s_32v,2.406403
d2sci,3.148987
d2sci_sse,3.980476
d2s_avx512,10.327751
d2s_sse,10.428886
dragonbox,17.633492
schubfach,19.369690
ryu,24.481445
grisu_exact,25.607361
floaxie,28.649193
erthink,29.076241
erthink_shodan,32.058220
emyg,45.755959
grisu2,48.296967
to_chars,49.754784
stb,51.007050
milo,51.453514
fmt,53.657578
fpconv,56.666161
doubleconv,59.346283
format,86.376686
sprintf,268.866119
ostrstream,330.824043
ostringstream,364.623894
dragon4,562.430450
