AMD Ryzen 9 9950X 16-Core Processor            
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.071198,1.067223,1.067368,1.069061,1.066231,1.066231,1.066681,1.068901,1.066833,1.065315,1.066383,1.071198,1.068443,1.066605,1.066299,1.066689,1.066223
d2sci_32,1.199150,1.203430,1.202812,1.206108,1.206177,1.202133,1.198616,1.205879,1.207710,1.202209,1.204422,1.205719,1.204651,1.206039,1.208168,1.207794,1.203888
d2sci_32v,1.196014,1.207176,1.206490,1.206177,1.210609,1.209015,1.207336,1.208160,1.210770,1.209015,1.204277,1.206795,1.207634,1.209473,1.207558,1.211990,1.211006
d2s_32v,2.346092,2.375755,2.377197,2.375443,2.365280,2.358780,2.362602,2.357788,2.362991,2.360992,2.363220,2.361305,2.362831,2.366966,2.364899,2.359550,2.364433
d2s_avx512,1.786880,1.774956,2.086281,2.086052,2.331573,2.324455,2.347542,2.353195,2.718033,3.147919,3.145325,2.714600,3.599052,3.602264,3.767365,4.280716,4.322380
d2s_sse,1.931419,1.930573,2.125496,2.128548,2.355728,2.355644,2.347618,2.730034,2.719185,3.149376,3.157013,3.332977,3.601875,3.617935,3.769661,4.200462,4.154297
d2sci_avx512_lut,3.124916,3.127815,3.130951,3.139748,3.140045,3.139893,3.142036,3.133476,3.130798,3.134544,3.132553,3.128349,3.134705,3.140427,3.142189,3.144402,3.138451
d2sci_avx512,3.557396,3.542572,3.542030,3.562363,3.556473,3.551125,3.550056,3.564430,3.556931,3.552422,3.552963,3.566109,3.554642,3.565651,3.555107,3.550514,3.563057
d2sci_sse,3.885849,3.901054,3.893333,3.897614,3.915504,3.896393,3.902130,3.904343,3.904266,3.894638,3.891197,3.911148,3.885696,3.889664,3.890358,3.889748,3.899384
d2sci_lut,4.335754,4.319244,4.313667,4.312294,4.315430,4.299683,4.306404,4.303802,4.297920,4.301666,4.301430,4.312752,4.312134,4.311066,4.306099,4.296082,4.306480
erthink,3.146774,3.137527,3.166878,3.136757,4.207344,4.234406,4.232407,4.222328,4.225616,5.369644,5.388527,5.370941,5.839890,7.384239,7.390045,7.360161,7.239616
dragonbox,4.146194,4.249077,4.367630,4.757156,4.683472,4.691650,4.686607,4.721153,4.873718,5.035698,5.043724,5.223114,6.324890,6.176895,6.188530,6.352859,6.314728
schubfach,4.188156,4.237915,4.405930,4.680717,4.697304,4.767395,4.732697,4.884964,4.975456,5.278313,5.283203,6.634232,6.751183,6.498550,6.489769,6.613510,6.587067
ryu,4.750969,5.279839,5.589478,5.556610,5.764526,5.917328,5.928642,5.968231,6.348892,6.451385,6.477760,6.436180,7.377274,7.397995,7.479401,7.512642,7.590073
erthink_shodan,6.690414,6.346062,7.816483,8.727394,9.143440,8.811005,9.029472,9.086113,10.300163,11.131874,11.903511,13.291313,16.207405,14.240967,14.837952,15.394875,16.320602
grisu_exact,11.617874,11.375023,11.684677,11.927208,11.675804,11.658989,11.652802,11.610222,11.687958,11.729240,10.852890,10.878494,10.852966,10.871231,11.918732,11.103760,11.270927
emyg,6.550385,9.085419,10.439819,11.746208,12.889488,12.176926,12.405106,12.605591,13.705910,13.702927,13.668465,17.943985,18.849998,15.283424,15.245972,17.290970,17.843155
milo,11.949608,12.942223,14.940140,16.121094,16.474167,16.809036,17.683945,17.723457,19.109573,18.866043,21.392006,22.621567,23.579704,20.834312,21.019051,21.718384,21.702637
floaxie,14.718018,16.338417,17.077789,17.766647,18.243996,18.466660,18.878349,20.275551,20.257812,22.549484,22.667046,23.060471,23.926880,25.280823,25.246582,24.307083,27.126404
fmt,14.592896,17.474960,19.164154,19.920578,20.351456,19.154823,19.160324,19.170113,21.077682,22.173790,23.362244,24.790779,25.840500,22.719559,22.748833,23.101746,24.874329
to_chars,22.645721,23.106873,23.327530,23.565414,24.400497,24.612381,24.762352,24.933571,25.372467,22.340660,22.341118,22.793243,23.031273,23.188660,24.298225,24.147720,20.117172
doubleconv,17.180756,19.317566,20.527336,21.513458,22.392708,22.307640,22.471298,23.046791,23.005211,25.109756,25.060989,29.079987,29.184868,26.709976,26.822487,28.413383,30.160355
grisu2,17.400818,19.797508,19.747520,22.162254,22.633492,22.782387,22.908669,23.999123,24.894127,25.314461,25.978470,27.378265,28.464516,28.241928,29.828392,29.865845,29.626137
fpconv,17.485275,19.953674,20.094543,20.163490,23.185295,26.298813,27.118988,32.176094,32.117073,32.203835,32.823128,32.062958,32.455475,32.534660,39.755005,39.726875,39.556808
stb,30.736694,32.104538,32.436356,32.630806,33.268761,33.789062,34.510101,34.474251,33.753983,33.958145,35.714073,36.093811,36.398712,37.170891,37.488251,37.674606,38.484619
format,63.144157,65.972572,66.630920,67.798203,68.570602,68.793098,68.901649,69.422112,61.586288,61.092651,61.587204,61.844193,62.579506,63.450279,63.941925,64.095047,60.922890
dragon4,22.786209,36.711731,44.948700,54.917664,64.389626,71.447083,73.589859,73.562576,83.291367,93.314606,112.330009,123.428558,132.470566,146.594666,153.980659,159.160820,168.424187
sprintf,79.596771,64.201508,67.762581,77.134865,81.402222,92.056595,92.056442,92.638741,95.799805,108.471519,108.691742,120.872269,121.600487,132.039154,132.731827,149.921219,153.509567
ostrstream,142.360260,123.377502,135.457962,140.442833,148.712364,151.551399,158.557503,159.947586,160.537300,166.896965,182.089058,184.914101,183.727333,196.947174,208.751320,218.757904,225.709343
ostringstream,134.742737,115.241661,132.811401,140.104134,155.268326,150.789406,157.340691,158.557579,159.579315,181.665054,179.832855,190.749557,195.668839,193.736351,206.644478,226.040848,264.125618
