AMD Ryzen 9 9950X 16-Core Processor            
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,0.931771,0.932080,0.934049,0.934375,0.934554,0.934212,0.933561,0.932259,0.932422,0.932568,0.932747,0.930615,0.930957,0.931771,0.930941,0.930778,0.930452
d2sci_32v,1.571631,1.461898,1.332747,1.332422,1.330941,1.512614,1.471354,1.334880,1.332096,1.328841,1.332731,1.335514,1.334717,1.332406,1.335010,1.337142,1.335661
d2sci_32,1.347754,1.849023,1.342204,1.342529,1.345459,1.704687,1.649756,1.681071,1.343831,1.345312,1.345459,1.343669,1.351676,1.373991,1.352148,1.357194,1.374495
d2sci,3.268343,3.252197,3.271126,3.278955,3.352995,3.602620,3.293945,3.407129,3.760970,3.258398,3.541960,3.361442,3.262484,3.414958,3.267546,3.273893,3.345801
erthink,6.962305,7.039600,8.341032,9.042220,10.152393,10.781982,11.522786,12.356559,13.227327,13.163411,13.868669,14.270475,14.895182,15.718994,16.509196,17.108805,17.091683
erthink_shodan,8.430062,10.665706,9.324967,10.206364,11.045492,11.696794,12.500374,13.506982,13.687484,14.311735,14.888493,15.334163,15.812109,16.434017,17.294385,17.478809,17.461361
emyg,8.594124,10.921729,11.869466,13.626676,14.854232,15.363005,16.433561,16.407796,16.365560,17.612354,18.106120,18.864046,19.285107,19.690495,19.993945,20.714551,21.263590
milo,9.036995,10.795833,12.239469,13.400684,20.609521,15.265983,15.990169,17.302197,17.827116,19.249561,18.143473,19.077848,19.859408,21.149284,21.107210,21.807422,22.730225
floaxie,12.303874,14.137093,14.805501,15.205811,15.904736,17.057113,18.610661,19.436605,20.013835,20.507926,21.358805,21.485693,21.895947,24.937826,22.909587,23.591211,23.903809
ryu,24.615918,23.973275,23.087646,22.285368,21.540299,20.768831,19.964274,19.360775,18.488363,18.179508,17.505713,23.793408,21.464974,20.447786,15.046175,14.494840,14.273389
grisu2,20.395915,22.058057,22.580680,23.146842,23.945394,25.184049,25.347754,26.645931,27.136117,28.407878,30.168978,30.924642,31.675716,33.180029,34.144564,34.713835,34.672087
doubleconv,20.072396,22.792497,22.740804,25.226123,23.951090,25.214697,28.134733,28.954476,30.117139,31.305729,32.187907,33.514323,33.129476,34.707454,35.372119,35.551351,39.057926
fmt,21.310889,23.257894,24.594727,25.976546,27.140348,26.950879,29.159294,30.418164,30.293734,31.517383,32.549447,34.165446,33.928646,35.214762,37.449609,36.316602,38.803223
fpconv,19.547152,22.129297,24.778011,26.722575,28.533431,30.046029,31.315186,32.893343,34.606852,35.773926,36.684505,38.193669,38.436816,40.794271,41.180566,42.092285,43.002995
stb,54.156934,55.238411,55.967627,55.713558,56.253320,56.456169,56.565755,56.840202,56.478532,58.064014,57.611686,57.875033,57.836377,58.209001,58.195605,58.198242,58.001237
sprintf,234.401058,250.054346,247.640804,252.648096,251.506299,257.986247,261.666992,259.060840,263.317057,280.944743,274.133936,275.812061,273.499430,272.538167,278.043294,276.679069,270.307894
ostrstream,313.370915,317.157324,327.141081,330.487386,344.747738,334.913997,360.051221,345.601888,367.796582,347.312777,344.577686,358.976774,350.932210,370.706348,345.581982,351.987581,335.720508
ostringstream,358.906510,361.635107,358.698584,363.564339,356.957373,366.895801,377.342839,370.715804,372.344515,390.068734,389.539909,397.724561,405.090120,401.205062,411.653890,407.758724,414.699349
