AMD Ryzen 9 9950X 16-Core Processor            
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,0.934049,0.931445,0.930469,1.095980,0.928174,0.927035,0.925732,0.926058,0.926383,0.925570,0.922949,0.926042,0.925244,0.926530,0.926872,0.926872,0.926546
d2sci_32v,1.338460,1.338281,1.320524,1.342855,1.342041,1.343180,1.341064,1.343343,1.329150,1.343490,1.340902,1.320524,1.341064,1.339583,1.333887,1.343180,1.334538
d2sci_32,1.336833,1.366162,1.337321,1.338786,1.339616,1.338298,1.339258,1.340413,1.337793,1.336995,1.335840,1.337321,1.334049,1.335335,1.339274,1.342839,1.334538
d2sci,3.321826,3.256429,3.244206,3.292155,3.228076,3.227262,3.225602,3.223161,3.225114,3.222852,3.224463,3.229036,3.322803,3.273079,3.279102,3.281706,3.282536
erthink,2.591618,4.352897,4.305452,4.375895,5.960254,4.371012,4.336605,4.385840,4.352897,5.029801,5.267057,5.278646,5.354134,6.764014,7.135807,7.165007,6.876025
ryu,7.495036,8.512240,9.752702,9.592562,10.344303,9.960612,6.024479,6.272201,6.181527,6.416357,7.088851,7.318750,7.447428,7.374674,7.418896,7.491439,7.613590
erthink_shodan,7.145264,6.120540,7.340625,8.364030,10.708594,8.242383,8.558724,9.861475,16.825065,18.227783,12.792594,12.973421,14.191715,14.119629,14.906755,15.264193,17.644645
emyg,6.773942,9.270329,10.857812,12.114079,17.919580,12.574740,12.534294,12.959749,13.955436,15.436719,16.734570,18.346143,18.608203,15.721110,16.548503,19.376253,18.191569
milo,7.276693,9.726432,11.217692,12.796680,14.576872,13.631901,13.852197,14.609977,14.862093,15.196387,18.121305,19.513053,20.822331,17.225081,19.025993,19.870182,19.607161
floaxie,13.737093,15.592952,16.242594,17.427604,17.095589,17.831380,18.053971,19.052572,20.081185,21.443294,20.929639,21.255778,21.352962,22.386296,22.546761,23.942594,23.113086
doubleconv,18.584896,28.228988,29.863900,21.558594,22.410433,25.801253,22.431966,22.994694,23.543099,25.015430,25.996289,28.281820,28.583659,27.956510,28.240560,28.321615,31.350407
grisu2,17.933757,20.429508,20.568115,23.073812,23.836442,23.761458,23.947819,25.025391,25.896810,27.251221,26.849609,28.662093,28.901139,29.670671,31.387923,30.936882,31.527995
fmt,21.558415,23.029932,23.919954,25.388200,25.999219,22.750098,24.168148,24.281950,25.825879,27.533024,27.485417,30.042773,32.030729,26.885986,26.872591,35.877799,27.936605
fpconv,17.779508,19.885986,20.054606,20.585726,20.836849,24.263379,31.466341,31.800309,32.126123,31.973665,32.110156,32.365023,31.786637,33.020557,42.611654,42.391846,40.988802
stb,32.876546,34.382975,36.925993,53.937939,38.159440,37.823682,39.257357,38.771566,39.006071,40.917871,40.838932,40.948698,43.191504,41.506380,42.267741,44.233187,42.207406
sprintf,79.376367,63.821419,68.194206,77.191439,82.769792,83.193750,92.684082,91.836947,107.500016,109.769255,119.984570,122.659521,128.019043,140.440983,146.491406,155.883577,170.707975
ostringstream,137.652214,116.295996,126.183870,133.367464,136.067204,143.031136,141.544303,147.770361,160.785531,168.370264,176.082340,174.166943,182.797917,183.329688,187.677035,236.882633,250.826481
ostrstream,153.285596,138.574512,140.976497,147.637777,155.894987,163.739974,168.582747,170.550944,171.628483,181.828646,202.064095,203.217318,203.415918,207.731657,227.659733,223.371712,229.718115
