AMD Ryzen 9 9950X 16-Core Processor            
Type:Sequential 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,0.932808,0.923698,0.923332,0.923096,0.935936,0.919281,0.923470,0.926300,0.921562,0.920494,0.918655,0.919434,0.919662,0.919662,0.919807,0.919426,0.920494
d2sci_32v,1.248215,1.248604,1.246384,1.247375,1.247536,1.248604,1.245850,1.246849,1.248604,1.247604,1.248672,1.246223,1.246918,1.248528,1.246155,1.247841,1.248299
d2sci_32,1.273903,1.279099,1.275581,1.278557,1.277573,1.274971,1.280701,1.278107,1.274979,1.276199,1.277176,1.263809,1.258072,1.262138,1.264503,1.260292,1.262428
d2s_32v,2.439041,2.436981,2.445152,2.452332,2.451797,2.448441,2.447601,2.447983,2.472282,2.525398,2.527306,2.526779,2.530907,2.532967,2.448441,2.453255,2.446526
d2sci,3.278511,3.277916,3.276611,3.281357,3.277534,3.272026,3.274704,3.280586,3.281433,3.280899,3.283340,3.280968,3.282265,3.281883,3.284340,3.286926,3.287621
erthink,2.599396,2.604492,2.598160,2.614449,4.254120,4.271019,4.355011,4.353790,4.364563,4.353638,5.146202,5.107674,5.146416,7.084251,7.069717,7.086075,6.711899
ryu,4.803818,5.366188,5.781799,5.605095,5.903389,5.953072,6.019569,6.022156,6.309380,6.421959,6.581161,6.554405,7.152695,7.222626,7.249519,7.258316,7.432266
erthink_shodan,7.132629,6.216034,7.317581,9.463676,10.258911,8.438469,8.311676,9.392593,9.443184,12.864029,12.862656,14.076248,16.756805,14.168495,14.169800,14.871101,14.928741
emyg,6.777306,9.332901,11.011101,12.208351,13.475441,13.202835,12.928215,14.186142,14.320053,15.502235,15.495209,17.075050,19.498497,16.498390,17.609589,18.747513,18.088104
milo,7.536713,10.391212,12.156555,13.622284,15.083740,14.934937,15.056381,16.320740,16.284279,18.213394,19.309059,18.997467,19.518555,18.485710,19.721848,20.315239,20.062798
floaxie,15.137527,16.554642,16.882294,17.324356,17.928055,18.134941,18.614464,19.441788,20.683899,20.762856,21.761230,21.834290,22.413162,22.388458,23.710739,22.529709,24.854721
doubleconv,18.910370,20.152100,21.270020,22.676895,23.282661,22.810493,23.138588,23.824989,23.963631,27.134621,27.199051,29.119980,33.061897,27.608780,28.164948,29.194885,29.434792
fmt,21.092026,23.062569,24.142189,25.589729,25.850197,23.143196,23.128990,23.128304,24.307198,27.284302,29.230141,30.397354,30.411346,26.911865,26.993172,27.646942,29.014305
grisu2,18.563728,20.970749,21.660049,23.181503,24.397247,24.140747,24.157173,26.429924,26.454224,28.917343,28.067696,28.582207,30.119637,30.504890,32.469635,31.990517,33.052940
fpconv,17.688400,20.169464,20.089302,20.232361,23.316383,27.265800,32.177361,32.109039,31.758072,32.321823,32.738739,33.076851,33.320656,33.287483,41.304703,41.766403,41.750351
stb,32.109749,33.845268,36.554588,36.993370,36.782364,37.080505,36.823784,36.525414,38.649506,38.914322,39.111435,39.095612,41.097504,38.782944,40.131065,42.447380,40.139397
sprintf,76.394753,62.449585,65.475533,74.341583,78.657265,82.763405,89.109558,89.222977,101.538010,99.588776,103.122749,116.089798,120.346741,129.416420,133.122124,138.150269,147.849251
ostringstream,133.023148,112.597481,118.625114,127.035965,132.669891,135.478928,144.058800,145.768181,144.326744,157.863686,160.134895,172.436295,172.673210,183.584549,193.288849,203.996788,249.544823
ostrstream,155.905968,134.068398,139.674019,146.871788,151.160622,155.035980,157.968689,167.720139,167.810570,166.336868,184.451035,182.952736,193.280022,196.663040,204.597588,205.495628,212.315781
