AMD Ryzen 9 9950X 16-Core Processor            
Type:RandomDigit 
Digit:1 to 17 
Time:ns

Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
null,1.100441,1.101814,1.101128,1.159523,1.216171,1.170456,1.120079,1.097298,1.163795,1.129868,1.144463,1.125656,1.167313,1.131935,1.165710,1.121071,1.121536
d2sci_32v,1.249336,1.241165,1.249718,1.252998,1.246193,1.249794,1.247574,1.248192,1.244217,1.249718,1.245354,1.250626,1.252457,1.246819,1.257278,1.257591,1.247192
d2sci_32,1.249718,1.244827,1.256752,1.251244,1.258278,1.263176,1.255455,1.265610,1.260727,1.259041,1.256287,1.255531,1.265007,1.251091,1.260635,1.260414,1.255608
d2s_32v,2.429268,2.436531,2.440498,2.458153,2.439651,2.442871,2.473137,2.467804,2.488884,2.480331,2.472069,2.465813,2.468399,2.465492,2.471313,2.448151,2.449677
d2sci,3.261421,3.240013,3.263939,3.256676,3.266846,3.283272,3.278770,3.266304,3.269669,3.267838,3.269287,3.258820,3.261566,3.263412,3.268295,3.256142,3.264854
dragonbox,14.709206,15.659836,15.576370,14.929108,15.828758,15.398346,15.849083,15.440765,16.491753,16.103386,16.703171,16.278198,17.328186,16.762108,16.988281,16.308380,19.614594
schubfach,15.549149,16.688568,16.529663,15.933319,16.975136,16.449020,17.048042,16.401260,17.674812,17.274597,17.841591,17.242958,18.335373,17.818512,18.480675,17.876602,22.087494
erthink_shodan,17.081985,17.697220,18.487938,19.221565,19.837486,20.236702,20.761887,21.148727,21.045387,21.326744,21.634407,22.101799,22.495674,23.050903,23.413429,24.244507,30.530388
floaxie,13.864594,15.909241,16.528740,17.200226,17.842827,18.653427,19.710068,20.868980,23.644875,24.464638,25.770920,26.674385,27.681793,28.745323,29.718262,30.876801,32.674866
erthink,19.686371,20.245796,20.948769,21.751869,22.278435,22.969101,23.583572,23.947556,24.467003,24.734764,25.053505,25.679665,26.129707,26.569511,27.021790,27.421455,30.294281
grisu_exact,23.765190,25.162109,25.299011,25.555748,25.681488,25.590309,25.035538,25.682632,26.050148,27.678596,25.405182,25.822281,26.371849,26.448364,26.015900,25.809441,26.799660
ryu,33.448158,34.484314,33.535141,32.762604,31.851425,31.356117,30.629143,30.034325,29.028664,29.958733,27.800049,27.299919,26.236786,25.534813,25.019325,24.745316,24.368484
emyg,30.684792,33.820549,35.102982,36.224365,37.018608,38.076546,38.970909,39.491661,39.966553,40.408737,41.385963,41.537300,41.893112,42.104759,41.749176,41.934608,45.670769
grisu2,35.244621,34.409943,35.058350,35.753052,36.803513,37.723328,38.550758,39.331383,40.074867,40.828979,41.584152,42.213211,42.846718,43.534325,44.303177,45.093063,48.645248
milo,32.014984,35.230003,35.872536,36.712776,37.886749,38.716827,39.763687,40.500916,41.608154,42.480667,43.335052,44.046677,45.124718,46.393158,47.685608,48.782295,51.277679
fmt,37.001251,39.479507,41.529274,42.998062,44.415924,45.399727,46.531502,47.378174,47.706932,48.272858,48.739189,49.627289,50.107758,51.014053,51.705635,53.031868,60.443428
fpconv,40.673660,43.215752,44.500847,45.225693,45.997612,46.635918,47.190308,47.405235,47.327965,47.126091,48.157669,49.258713,49.721535,51.913544,51.860802,52.833527,56.068565
doubleconv,34.898819,39.911522,42.270470,43.947769,45.502075,47.022835,48.321548,49.330879,49.352806,49.937172,50.012978,50.634331,51.660088,52.630508,53.296257,54.526176,59.404198
to_chars,52.247635,52.602150,52.368561,52.068176,51.762505,51.536026,51.274467,50.800568,50.509041,50.533577,50.478539,50.563225,50.459282,50.393707,50.433907,50.371689,50.222641
stb,59.096153,60.763680,61.281830,61.318901,61.419724,61.666908,61.702080,61.794250,62.039146,60.458466,60.115341,60.181160,60.286491,60.322334,60.928474,61.170700,59.831390
format,89.232986,89.744110,89.258293,88.885139,88.465958,88.256302,88.031738,87.189026,87.907837,88.457634,88.141190,87.858459,87.989693,87.903175,87.203941,86.713982,85.054276
sprintf,234.363937,240.933235,244.246788,247.279655,250.419937,252.943977,256.514412,257.885353,259.361633,263.786316,264.826599,268.085953,269.757286,272.163628,272.630943,270.746208,267.758118
ostrstream,299.072212,304.997406,305.512268,307.574181,311.776970,314.298195,323.690186,324.153229,327.604431,327.460655,331.891754,336.204857,332.772057,332.360153,334.174332,332.091705,331.498344
ostringstream,320.159340,326.357925,329.589394,331.615303,334.211807,337.074615,340.553650,342.801224,348.538139,355.600304,361.211792,363.755951,366.067589,374.439392,376.183014,370.983131,367.677994
dragon4,142.107262,176.456894,207.768440,235.511490,265.005409,291.041023,316.713341,346.466240,379.760521,405.952599,437.066734,464.183441,489.403877,517.491234,543.739204,570.423813,592.255417
