AMD Ryzen 9 9950X 16-Core Processor            
Type:Random
Function,Time(ns)
null,1.082253
d2sci_32v,1.222824
d2sci_32,1.224800
d2s_32v,2.377518
d2sci,3.218391
dragonbox,19.639740
schubfach,22.008163
ryu,24.606361
grisu_exact,26.233887
erthink,29.891083
erthink_shodan,30.876335
floaxie,32.482780
emyg,43.917732
grisu2,48.350212
to_chars,49.545502
milo,50.366493
fpconv,55.827415
doubleconv,59.073021
fmt,59.329071
stb,59.790428
format,85.467735
sprintf,270.671783
ostrstream,333.408035
ostringstream,364.254791
dragon4,592.760063
